P_ID,true_label,acc_pred,acc_reason,ppg_pred,ppg_reason,light_pred,light_reason,stat_fusion,semantic_fusion,semantic_reason,hybrid_fusion
PA01,0,1,The high spectral centroids and high zero-crossing rates suggest gesturing or other interactive movements.,0,"The low zero-crossing rate and peak rate suggest a more stable and less dynamic physiological state, which is less indicative of a social interaction.",0,"The lack of light variability and absence of significant light changes suggest a consistent, possibly dim environment typical of solitary activities.",0,0,"While the accelerometer data suggests potential movement, the PPG and light data indicate a stable, less dynamic environment, which is inconsistent with a social interaction.",0
PA01,0,1,The high spectral centroids and zero-crossing rates suggest gesturing or other interactive movements.,0,"The heart rate variability metrics suggest a more stable state, indicating less likely engagement in a dynamic social interaction.",1,The high number of significant light changes suggests a dynamic lighting environment typical of social interactions.,1,1,"While the PPG agent indicates a more stable state, the accelerometer's detection of interactive movements and the light agent's observation of dynamic lighting changes strongly suggest a social interaction is occurring.",1
PA01,1,1,The high spectral entropy and low-frequency power fractions suggest rhythmic and complex movements typical of social interactions.,1,"The high peak rate and relatively high heart rate variability metrics suggest increased physiological arousal, which is often associated with social interactions.",1,The high number of significant light changes suggests a dynamic lighting environment typical of social interactions.,1,1,"The combination of rhythmic and complex movements, increased physiological arousal, and a dynamic lighting environment strongly indicates the presence of a social interaction.",1
PA01,0,1,The high spectral centroids and low standard deviation suggest gestural movements typical during social interactions.,1,"The high peak rate and moderate heart rate variability suggest increased sympathetic activity, which is often associated with social interactions.",1,The high number of significant light changes suggests a dynamic lighting environment typical of social interactions.,1,1,"The combination of gestural movements, increased sympathetic activity, and a dynamic lighting environment strongly suggests the presence of a social interaction.",1
PA01,1,0,"The low zero-crossing rates and high spectral centroids suggest steady, non-gestural movements, indicative of activities like typing or holding a phone rather than social interaction.",0,"The low PPG zero-crossing rate suggests reduced cardiac activity, which is less indicative of a social interaction.",0,The consistent light levels with minimal changes suggest a stable environment like home or a solitary activity.,0,0,"The consistent lack of significant activity across all sensor types (steady movements, reduced cardiac activity, and stable light levels) strongly indicates that no social interaction took place.",0
PA01,1,1,The high spectral centroid and zero-crossing rates suggest gesturing or other interactive movements.,0,"The low peak rate and high zero-crossing rate suggest a more stable and less dynamic heart rate, indicative of a non-social interaction state.",0,The low standard deviation and fewer significant light changes suggest a more consistent indoor environment typical of solitary activities rather than social interactions.,0,0,"While the accelerometer detected potential interactive movements, the PPG and light sensors indicate a more stable and indoor environment typical of solitary activities.",0
PA01,0,1,The high low-frequency power fractions and spectral entropy suggest complex wrist movements typical of social interactions.,0,"The low peak rate suggests less physical activity, which is more consistent with a social interaction rather than intense physical activity.",1,The high mean log-transformed light level and numerous significant light changes suggest an indoor social setting.,1,1,"While the PPG agent noted low peak rate suggesting less physical activity, both the Accelerometer and Light agents provide evidence for complex wrist movements and an indoor social setting, which are consistent with a social interaction.",1
PA01,1,1,The high spectral centroid values and low zero-crossing rates suggest gestural movements typical of social interactions.,0,"Based on the stable signal quality and heart rate variability metrics, indicating a consistent state without significant autonomic nervous system arousal.",1,The consistent light level with minimal variability suggests a stable indoor environment typical of social interactions.,1,1,"While the PPG agent indicates a stable state, both the Accelerometer and Light agents detect patterns consistent with gestural movements and a stable indoor environment, which are typical during social interactions.",1
PA01,1,1,The high spectral centroid and low-frequency power fractions suggest gestural movements typical of social interactions.,0,"The low PPG zero-crossing rate suggests reduced cardiac activity, which is less indicative of a social interaction.",1,The number of significant light changes suggests a dynamic lighting environment typical of social interactions.,1,1,"While the PPG data indicates reduced cardiac activity, the accelerometer's high spectral centroid and low-frequency power fractions, along with the light agent's detection of significant light changes, collectively suggest the presence of gestural movements and a dynamic environment characteristic of social interactions.",1
PA01,1,1,The high spectral centroid and low-frequency power fractions suggest gesturing or other interactive movements.,0,"The low zero-crossing rate suggests reduced cardiac variability, which is less indicative of active social interaction.",1,The high number of significant light changes suggests a dynamic lighting environment typical of social interactions.,1,1,"While the PPG data suggests reduced cardiac variability, the accelerometer data indicates interactive movements, and the light agent's data points to a dynamic environment, collectively these modalities strongly suggest a social interaction took place.",1
PA01,1,1,The high spectral centroid values and low-frequency power fractions suggest gestural movements typical during social interactions.,0,"The lower peak rate suggests less physical activity, which is less indicative of a social interaction.",1,The high number of significant light changes suggests a dynamic lighting environment typical of social interactions.,1,1,"While the PPG agent noted lower peak rates suggesting less physical activity, both the Accelerometer and Light agents detected patterns consistent with social interactions, indicating gestural movements and a dynamic lighting environment, respectively.",1
PA01,1,1,The high spectral entropy and low standard deviation suggest gestural movements typical during social interactions.,0,"The low peak rate suggests a more relaxed state, which is less indicative of a social interaction.",1,"The consistent and stable light levels with minimal changes suggest an indoor setting like a meeting room or office, typical for social interactions.",1,1,"While the PPG agent noted a relaxed state, the accelerometer's indication of gestural movements and the light agent's suggestion of an indoor setting typical for social interactions provide strong cross-modal evidence supporting the presence of a social interaction.",1
PA01,0,1,The high low-frequency power fractions and significant spectral entropy suggest complex wrist movements typical of social interactions.,0,"The lower peak rate suggests less physical activity, which is more consistent with a social interaction rather than intense physical activity.",1,The high number of significant light changes suggests a dynamic lighting environment typical of social interactions.,1,1,"While the PPG agent noted lower peak rates suggesting less physical activity, both the Accelerometer and Light agents detected patterns consistent with social interactions, indicating complex movements and environmental changes that are likely associated with such events.",1
PA01,0,0,"The high spectral centroids and low standard deviation suggest steady, non-varying movements rather than the dynamic gestures typical of social interactions.",0,"The signal quality is good and the heart rate variability metrics suggest a more stable state, indicating no significant social interaction.",1,The high number of significant light changes suggests a dynamic and possibly social environment.,0,1,"While the accelerometer and PPG agents indicate stability and lack of dynamic movement, the light agent's detection of frequent light changes suggests a dynamic and potentially social environment, which is consistent with social interactions.",1
PA01,0,0,The low variability and high spectral entropy suggest relaxed or stationary wrist positions rather than dynamic movements typical of social interactions.,0,"The low zero-crossing rate and reduced peak rate suggest a more stable and less dynamic physiological state, indicative of no interaction.",0,"The low standard deviation and few significant light changes suggest a stable, likely indoor environment with minimal movement, typical of solitary activities.",0,0,"All three sensors (accelerometer, PPG, and light) indicate a stable and relaxed state with minimal movement and physiological activity, consistent with the absence of a social interaction.",0
PA01,0,1,The high spectral centroids and low standard deviation suggest gestural movements typical during social interactions.,1,"The high peak rate and moderate heart rate variability suggest increased physiological arousal, which is often associated with social interactions.",0,"The absence of light variability and significant changes suggests a very consistent environment, likely not a social interaction setting.",1,1,"While the light agent indicates a consistent environment, the accelerometer and PPG agents' findings of gestural movements and increased physiological arousal strongly suggest a social interaction, outweighing the single indicator from the light agent.",1
PA01,1,1,"The high spectral centroids and entropy, along with frequent zero-crossings, suggest gesturing or other interactive movements.",0,"Based on the stable signal quality and lower peak rate, indicating less physical activity typical during social interactions.",0,"The low number of significant light changes suggests a more consistent environment, likely not a dynamic social interaction setting.",0,0,"While the accelerometer detected potential interactive movements, the PPG and light sensors indicate a stable, less active environment, suggesting no significant social interaction occurred.",0
PA01,0,1,The high spectral centroids and zero-crossing rates suggest gesturing or other interactive movements.,0,"The signal quality and heart rate variability metrics indicate no significant physiological variation, suggesting no social interaction.",0,"The low mean log-transformed light level and fewer significant light changes suggest a more consistent, lower light environment typical of solitary activities.",0,0,"While the accelerometer detected potential interactive movements, the PPG and light sensors indicate stable, low-light conditions with no significant physiological changes, suggesting the subject was likely engaged in a solitary activity.",0
PA01,1,1,The high spectral entropy and low-frequency power fractions suggest rhythmic and complex movements typical of social interactions.,0,"The low zero-crossing rate and lower peak rate suggest a more stable and less dynamic physiological state, which is less indicative of a social interaction.",1,The high number of significant light changes suggests dynamic lighting conditions typical of social settings.,1,1,"While the PPG data indicates a more stable state, the accelerometer's high spectral entropy and light agent's high number of significant light changes strongly suggest rhythmic movements and dynamic lighting conditions typical of social interactions.",1
PA01,1,1,The high spectral entropy and low-frequency power fractions suggest rhythmic and complex movements typical of social interactions.,0,"The low peak rate suggests a lower heart rate and less dynamic physiological response, indicating a less active state.",1,The high number of significant light changes suggests a dynamic lighting environment typical of social interactions.,1,1,"While the PPG agent indicates a less active state, the accelerometer and light agent's findings of rhythmic movements and dynamic lighting environments strongly suggest a social interaction is occurring.",1
PA01,0,1,The high spectral centroid values and low standard deviation suggest gestural movements typical during social interactions.,0,"The signal quality and HRV metrics indicate no significant physiological variation, suggesting no social interaction.",0,"The low number of significant light changes suggests a consistent, possibly dim environment, which is less indicative of a social interaction setting.",0,0,"While the accelerometer data suggests gestural movements, the PPG and light sensor data indicate a stable, low-activity environment with no significant physiological variations, which collectively point towards no social interaction.",0
PA01,0,1,The high zero-crossing rates and low standard deviation suggest gestural movements typical during social interactions.,1,"The high pNN50 and pNN20 values suggest increased heart rate variability, which is often associated with social interactions that engage the parasympathetic nervous system.",1,The high number of significant light changes suggests a dynamic environment typical of social interactions.,1,1,"The combination of gestural movements, increased heart rate variability, and a dynamic lighting environment strongly indicates the presence of a social interaction.",1
PA01,0,1,The high spectral centroids and low standard deviation suggest gestural movements typical during social interactions.,0,"The lower pNN50 and pNN20 values suggest less variability in heart rate, which is less indicative of a social interaction.",0,"The absence of light variability and significant changes suggests a very consistent environment, likely not a social interaction setting.",0,0,"While the accelerometer detected gestural movements, the PPG and light sensors indicate a lack of physiological and environmental changes typically associated with social interactions.",0
PA01,1,1,"The high spectral centroids and high zero-crossing rates indicate rapid, frequent movements consistent with social interactions such as gesturing or typing on a device.",0,"The low zero-crossing rate suggests reduced respiratory sinus arrhythmia, indicating a less active state typical during social interactions.",0,"The low standard deviation and high kurtosis suggest a consistent indoor environment with fewer light changes, typical of solitary activities.",0,0,"While the accelerometer data indicates potential movement, the PPG and light sensor data suggest a more passive, stationary state, which is inconsistent with the expected activity during a social interaction.",0
PA01,1,0,"The low variability in low-frequency power fractions and high spectral entropy suggest random, non-repetitive movements rather than those associated with social interactions.",1,"The high peak rate and moderate heart rate variability suggest increased physiological arousal, which is often associated with social interactions.",1,The high number of significant light changes suggests a dynamic lighting environment typical of social interactions.,1,1,"While the accelerometer data indicates random movements, the PPG and Light agents' findings of increased physiological arousal and dynamic lighting environments strongly suggest a social interaction.",1
PA01,0,1,The high low-frequency power fractions and spectral entropy suggest complex wrist movements typical of social interactions.,1,"The high pNN50 and pNN20 values indicate significant heart rate variability, which is often associated with social interactions that engage the parasympathetic nervous system.",0,"The low number of significant light changes suggests a more consistent environment, likely not a social interaction setting.",1,1,"While the Light Agent observed a consistent environment, the Accelerometer and PPG Agents detected complex wrist movements and significant heart rate variability, both indicative of social interactions.",1
PA01,0,1,The high spectral centroid and low zero-crossing rates suggest gesturing or other interactive movements.,0,"The low zero-crossing rate and peak rate suggest a more stable and less dynamic physiological state, which is less indicative of a social interaction.",1,The high number of significant light changes suggests a dynamic lighting environment typical of social interactions.,1,1,"While the PPG data indicates a stable state, the accelerometer's high spectral centroid and low zero-crossing rates, combined with the light agent's high number of significant light changes, strongly suggest that a social interaction was occurring.",1
PA01,1,0,The low variability and high spectral entropy suggest random movements rather than structured social interaction gestures.,1,"The high peak rate and moderate heart rate variability suggest increased physiological arousal, which is often associated with social interactions.",1,The high number of significant light changes suggests dynamic lighting conditions typical of social settings.,1,1,"While the accelerometer data indicates random movements, both the PPG and Light agents detected signs of increased physiological arousal and dynamic lighting conditions, which are more consistent with a social interaction.",1
PA01,0,1,The high spectral centroid values and zero-crossing rates suggest gesturing or other interactive movements.,0,"The lower pNN50 and higher peak rate suggest increased heart rate variability and more pronounced pulsations, which are less indicative of social interaction.",1,The high number of significant light changes suggests a dynamic lighting environment typical of social interactions.,1,1,"While the PPG data indicates a lower pNN50 and higher peak rate, suggesting less physical activity, the accelerometer's high spectral centroid and zero-crossing rates, along with the light agent's high number of significant light changes, collectively point towards gesturing and a dynamic environment, consistent with social interaction.",1
PA01,1,1,The high low-frequency power fractions and spectral entropy suggest complex wrist movements typical of social interactions.,1,"The increased peak rate suggests heightened physiological arousal, which is often associated with social interactions.",1,"The high mean log-transformed light level and numerous significant light changes suggest an environment with consistent but varying lighting, typical of social interaction settings.",1,1,"The combined evidence from high wrist movement complexity, increased physiological arousal, and consistent varying lighting strongly suggests the presence of a social interaction.",1
PA01,0,1,"The high spectral centroids and zero-crossing rates suggest rapid, frequent movements consistent with social interactions such as gesturing or typing on a device.",1,"The high pNN50 and pNN20 values indicate significant heart rate variability, which is often associated with social interactions that engage the parasympathetic nervous system.",1,The high number of significant light changes suggests a dynamic lighting environment typical of social interactions.,1,1,"The combination of rapid movements detected by the accelerometer, increased heart rate variability noted by the PPG, and a dynamic lighting environment observed by the light sensor strongly supports the presence of a social interaction.",1
PA01,1,1,The high spectral entropy and low-frequency power fractions suggest rhythmic movements consistent with social interactions.,0,"The low zero-crossing rate suggests reduced cardiac variability, which is less indicative of a social interaction.",1,The high number of significant light changes suggests a dynamic lighting environment typical of social interactions.,1,1,"While the PPG agent noted reduced cardiac variability, the accelerometer's rhythmic movement patterns and the light agent's detection of dynamic lighting environments strongly suggest a social interaction.",1
PA01,0,1,The high spectral centroid and zero-crossing rates suggest gesturing or other interactive movements.,0,"The low peak rate suggests a more stable and less fluctuating heart rate, indicative of a state with reduced physical activity, which is consistent with a social interaction.",0,The low and consistent light levels suggest a solitary activity rather than a social interaction.,0,0,"While the accelerometer detected potential interactive movements, the PPG and light sensors indicate low physical activity and a stable environment, suggesting the absence of a social interaction.",0
PA01,1,1,The high spectral centroids and low-frequency power fractions suggest gesturing or other interactive movements.,0,"The lower pNN50 value suggests less variability in heart rate, which may indicate a more stable state rather than an active social interaction.",1,The high number of significant light changes suggests a dynamic lighting environment typical of social interactions.,1,1,"While the PPG data suggests a more stable state, the accelerometer and light data indicate gesturing and a dynamic environment, both consistent with social interaction.",1
PA01,0,1,The high spectral entropy and low-frequency power fractions suggest rhythmic and complex movements typical of social interactions.,0,"The low zero-crossing rate and lower peak rate suggest a more stable and less dynamic physiological state, which is less indicative of a social interaction.",0,"The low mean log-transformed light level and moderate number of light changes suggest a less controlled, possibly outdoor environment.",0,0,"While the accelerometer data suggests rhythmic movements, the PPG and light data indicate a more stable and less dynamic environment, which is inconsistent with a social interaction.",0
PA01,0,1,The high low-frequency power fractions and spectral centroids at higher frequencies suggest gesturing or other interactive movements.,0,"The low zero-crossing rate and lower peak rate suggest a more stable and less dynamic physiological state, which is less indicative of a social interaction.",0,"The low mean log-transformed light level and relatively few significant light changes suggest a consistent, dim environment typical of solitary activities rather than social interactions.",0,0,"While the accelerometer detected potential interactive movements, the PPG and light sensors indicate a stable, less dynamic and dim environment, which is more consistent with solitary activities.",0
PA01,0,1,The high low-frequency power fractions and spectral entropy suggest complex wrist movements typical of social interactions.,0,"The signal quality and HRV metrics indicate no significant physiological variation, suggesting no social interaction.",0,"The consistent light levels and significant light changes suggest a stable indoor environment without frequent interruptions, typical of solitary activities.",0,0,"While the accelerometer suggests complex wrist movements, the PPG and light sensors indicate stable conditions with no significant physiological or environmental changes, which are more consistent with a solitary activity.",0
PA01,1,0,"The low high-frequency power fractions and the presence of high spectral centroids suggest steady, rhythmic movements rather than the dynamic gestures typical of social interactions.",0,"The signal quality is good and the heart rate variability metrics suggest a more stable state, indicating no significant social interaction.",0,"The consistent light levels suggest a stable environment like home or a well-lit office, not typically associated with frequent social interactions.",0,0,"All three modalities (accelerometer, PPG, and light) indicate stable, non-dynamic conditions without significant changes, suggesting no social interaction took place.",0
PA01,1,1,"The high spectral centroids and zero-crossing rates suggest rapid, frequent movements consistent with social interactions such as gesturing or typing on a device.",0,"The high zero-crossing rate and peak rate suggest increased cardiac activity, which is less indicative of a social interaction.",0,"The low standard deviation and high kurtosis suggest a very consistent light environment, which is more indicative of solitary activities rather than social interactions.",0,0,"While the accelerometer data suggests potential movement, the PPG and light sensor data indicate higher cardiac activity and a consistent light environment, which are more consistent with solitary activities rather than social interactions.",0
PA01,1,1,The high spectral centroids and low standard deviation suggest gestural movements typical during social interactions.,0,"The heart rate variability metrics suggest a more stable state, which is less indicative of a social interaction.",1,The high number of significant light changes suggests a dynamic lighting environment typical of social interactions.,1,1,"While the PPG agent indicates a stable state, the accelerometer and light agent's findings of gestural movements and dynamic lighting environments strongly suggest a social interaction is occurring.",1
